description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: apple_podcasts, Content: When her wife complained about the indignities of coloring her hair at home, Amy realized the sector was ripe for a makeover"
"Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Madison Reed: Amy Errett, Platform: apple_podcasts, Content: Madison Reed’s early successes were marred by a management meltdown, when Amy had to break with three of her co-founders—an experience she describes as one of the most difficult of her life"
Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Exclusive Update: The Chef Who Shocked the Culinary World and Why He’s Changing Course Again—Daniel Humm of Eleven Madison Park, Platform: apple_podcasts, Content: Daniel shares what he learned from his years of plant-based cooking and how the experiment forever changed his creative vision"
Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: apple_podcasts, Content: Chesapeake Bay Candle and Blueme founder Mei Xu joins Guy on the Advice Line to answer questions from three early-stage founders"
"And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: apple_podcasts, Content: And finally, Lindsay in Grand Rapids, Michigan needs advice on how to get her online curriculum in front of more school districts"
"If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Advice Line with Mei Xu of Chesapeake Bay Candle and Blueme, Platform: apple_podcasts, Content: If you’d like to be featured on a future Advice Line episode, leave us a one-minute message that tells us about your business and a specific question you’d like answered"
"After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Built This with Guy Raz,,"Episode: Simon Cowell: Music Mogul, Platform: apple_podcasts, Content: After a failed business left him nearly bankrupt, he found success by zigging where others zagged—initially by selling hit records based on TV shows like Power Rangers and WrestleMania"
"In this episode, Ry reveals how he went from zero to 30 paying customers in 60 days, why he believes AI agents will 10x the software development market, and his strategy to land million-dollar Fortune 50 contracts by letting non-technical teams create pull requests without bothering their developers",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/SaaS Interviews with CEOs, Startups, Founders",,"Episode: Woah! Unicorn Founder Quits Unicorn During $213M Raise, Launches Something Bigger, Platform: apple_podcasts, Content: In this episode, Ry reveals how he went from zero to 30 paying customers in 60 days, why he believes AI agents will 10x the software development market, and his strategy to land million-dollar Fortune 50 contracts by letting non-technical teams create pull requests without bothering their developers"
"3 million views overnight, converting to 10,000 users instantly, and they've since scaled to 4 million total downloads by running 6-7 A/B tests simultaneously and building AI agents that automatically find app store arbitrage opportunities",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/SaaS Interviews with CEOs, Startups, Founders",,"Episode: How This 25 Year Old College Kid Built a $500K/Month App Empire, Platform: apple_podcasts, Content: 3 million views overnight, converting to 10,000 users instantly, and they've since scaled to 4 million total downloads by running 6-7 A/B tests simultaneously and building AI agents that automatically find app store arbitrage opportunities"
"In this episode, Romain screen-shares his actual Gumloop dashboard and reveals exactly how he built AI agents that scrape competitor ads, automatically rewrite copy, and send daily Slack alerts with replication opportunities—plus his three-channel growth strategy that's driving $500,000+ in monthly recurring revenue",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/SaaS Interviews with CEOs, Startups, Founders",,"Episode: My Agent Army Brings Me $500,000 Per Month (Exploding SaaS), Platform: apple_podcasts, Content: In this episode, Romain screen-shares his actual Gumloop dashboard and reveals exactly how he built AI agents that scrape competitor ads, automatically rewrite copy, and send daily Slack alerts with replication opportunities—plus his three-channel growth strategy that's driving $500,000+ in monthly recurring revenue"
Foundersuite's customers have raised over $21 Billion since 2016,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: How I Raised It with Nik Talreja of Sydecar.io, Platform: apple_podcasts, Content: Foundersuite's customers have raised over $21 Billion since 2016"
"Nisha also drops an excellent tip for sourcing LP intros around the 18:00 mark :) 

BBG Ventures most recently raised a $60 million Fund II from LPs including the State of Michigan Retirement Services, Illumen Capital, and the George Kaiser Family Foundation, alongside new LPs Fairview, Pivotal Ventures, California Endowment, and Mizuho",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 305 How I Raised It with Nisha Dua of BBG Ventures, Platform: apple_podcasts, Content: Nisha also drops an excellent tip for sourcing LP intros around the 18:00 mark :) 

BBG Ventures most recently raised a $60 million Fund II from LPs including the State of Michigan Retirement Services, Illumen Capital, and the George Kaiser Family Foundation, alongside new LPs Fairview, Pivotal Ventures, California Endowment, and Mizuho"
Foundersuite's customers have raised over $21 Billion since 2016,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 305 How I Raised It with Nisha Dua of BBG Ventures, Platform: apple_podcasts, Content: Foundersuite's customers have raised over $21 Billion since 2016"
Foundersuite's customers have raised over $21 Billion since 2016,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 304 How I Raised It with Yoav Oz of Rep AI, Platform: apple_podcasts, Content: Foundersuite's customers have raised over $21 Billion since 2016"
Foundersuite's customers have raised over $21 Billion since 2016,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 303 How I Raised It with Renata Quintini of Renegade Partners VC, Platform: apple_podcasts, Content: Foundersuite's customers have raised over $21 Billion since 2016"
"To fund her business, Laura went through multiple accelerator programs including Tampa Bay WAVE, Techstars, Mass Challenge, 1871, TeamRise, Cedar Sinai and others, so we talk about how to make the most of accelerators, demo day tips, questions to ask investors to make sure they have capital to deploy, tips for communicating noteworthy events to investors, how she used Foundersuite to manager her investor pipelines, and more",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 302 How I Raised It with Laura Epstein of Pulse Charter Connect, Platform: apple_podcasts, Content: To fund her business, Laura went through multiple accelerator programs including Tampa Bay WAVE, Techstars, Mass Challenge, 1871, TeamRise, Cedar Sinai and others, so we talk about how to make the most of accelerators, demo day tips, questions to ask investors to make sure they have capital to deploy, tips for communicating noteworthy events to investors, how she used Foundersuite to manager her investor pipelines, and more"
Foundersuite's customers have raised over $21 Billion since 2016,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/How I Raised It - The podcast where we interview startup founders who raised capital.,,"Episode: Ep. 302 How I Raised It with Laura Epstein of Pulse Charter Connect, Platform: apple_podcasts, Content: Foundersuite's customers have raised over $21 Billion since 2016"
"(00:28:56) - Actionable Advice on Creating Content
  (00:44:53) - Sponsor: LinkedIn Jobs
 
 (00:46:04) - Comedy & Storytelling  (00:52:41) - Why Writing is the Most Important Skill
   (01:03:33) - Inside Look at Kallaway’s Script Layout
   (01:05:59) - Kallaway’s Equipment
   (01:10:24) - Kallaway’s Editing Process
   (01:32:35) - Psychology of Creating Content
   (01:44:57) - How to go viral
   (01:49:37) - Newsletter Insights
   (01:55:26) - Thoughts on Monetization
   (01:59:52) - Becoming a Full-Time Creator 
   Links Mentioned
   Kallaway’s Personal Website
   Kallaway’s Twitter
   Espresso Letter
   TikTok Example 1
   TikTok Example 2
   TikTok Example 3
   Camera
   Lens
   Capture Card
   Microphone
   Recording Software
   Youtube Downloader (Downie)
   Premiere Keyboard Shortcuts 
   Thank you to our sponsors:
 Linkedin Jobs - helps you find the candidates you want to talk to, faster",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Creator Lab - interviews with entrepreneurs and startup founders,,"Episode: Kallaway // 100mil+ Views, Growing on TikTok & Vertical Video Deep Dive, Platform: apple_podcasts, Content: (00:28:56) - Actionable Advice on Creating Content
  (00:44:53) - Sponsor: LinkedIn Jobs
 
 (00:46:04) - Comedy & Storytelling  (00:52:41) - Why Writing is the Most Important Skill
   (01:03:33) - Inside Look at Kallaway’s Script Layout
   (01:05:59) - Kallaway’s Equipment
   (01:10:24) - Kallaway’s Editing Process
   (01:32:35) - Psychology of Creating Content
   (01:44:57) - How to go viral
   (01:49:37) - Newsletter Insights
   (01:55:26) - Thoughts on Monetization
   (01:59:52) - Becoming a Full-Time Creator 
   Links Mentioned
   Kallaway’s Personal Website
   Kallaway’s Twitter
   Espresso Letter
   TikTok Example 1
   TikTok Example 2
   TikTok Example 3
   Camera
   Lens
   Capture Card
   Microphone
   Recording Software
   Youtube Downloader (Downie)
   Premiere Keyboard Shortcuts 
   Thank you to our sponsors:
 Linkedin Jobs - helps you find the candidates you want to talk to, faster"
"be/zJBc0-rsnVo
 Timestamps:
  00:00:00 - Start 00:04:26 - What VCs do & how it overlaps with Mario’s experience 00:08:00 - Why Be A Generalist vs",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Creator Lab - interviews with entrepreneurs and startup founders,,"Episode: Mario Gabriele, The Generalist // Emerging Tech, ChatGPT vs. Google, Contrarian Views & Raising A $15mil Fund, Platform: apple_podcasts, Content: be/zJBc0-rsnVo
 Timestamps:
  00:00:00 - Start 00:04:26 - What VCs do & how it overlaps with Mario’s experience 00:08:00 - Why Be A Generalist vs"
This podcast will give you a great insight into Australia’s innovation ecosystem by tracing its history and future,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/The History of the Australian Startup Ecosystem: Interview Series,,"Episode: The Documentary: Trailer - The History of the Australian Startup Ecosystem: Documentary, Platform: apple_podcasts, Content: This podcast will give you a great insight into Australia’s innovation ecosystem by tracing its history and future"
"Since then his business, Cornerstones Education, has grown from 3 founding directors to a team of over 35 people with a customer base that grows daily",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Build a Better Startup Interviews,,"Episode: From Education to Small Business – Leaving it All Behind to Start Again, Platform: apple_podcasts, Content: Since then his business, Cornerstones Education, has grown from 3 founding directors to a team of over 35 people with a customer base that grows daily"
Go TO-U is an electric vehicle charging software solution that acts as a digital experience platform for e-mobility,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/Made in Ukraine Tech Startup Edition, interviews with top Ukrainian entrepreneurs",,"Episode: Go TO-U EV Charging Software Solutions, Platform: apple_podcasts, Content: Go TO-U is an electric vehicle charging software solution that acts as a digital experience platform for e-mobility"
"Since 2017, innovative tech startups from Ukraine have exhibited at the world class CES technology show",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/Made in Ukraine Tech Startup Edition, interviews with top Ukrainian entrepreneurs",,"Episode: Ukraine technology startups at CES 2023, Platform: apple_podcasts, Content: Since 2017, innovative tech startups from Ukraine have exhibited at the world class CES technology show"
"Jeremy shares his insight on many things including how to compete in a crowded industry with IT company (Something Cool, LLC) co-founder and Partner Jeremy Porter",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/Exceptional Entrepreneurship -Interviews with venture capitalists, entreprenurs, startups, executives, CEOS and more",,"Episode: 06:  How to thrive in a crowded industry with verteran IT company co-founder Jeremy Porter, Platform: apple_podcasts, Content: Jeremy shares his insight on many things including how to compete in a crowded industry with IT company (Something Cool, LLC) co-founder and Partner Jeremy Porter"
Listen in to hear Chris’ experience as an early employee and how one of the pre-eminent Central and Eastern European funds evolved over time,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Storyteller Interviews: Startup Stories and Lessons from Central and Eastern Europe,,"Episode: Chris Kobyłecki COO of Innovation Nest, Platform: apple_podcasts, Content: Listen in to hear Chris’ experience as an early employee and how one of the pre-eminent Central and Eastern European funds evolved over time"
"Brett is an entrepreneurial, results-driven executive with over 20 years of experience and success in the wireless and technology industries",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Entrepreneur Stories 4⃣ Inspiration,,"Episode: 272: From Selling Phones Out of a Van to Leading a 9-Figure Empire | Brett Beveridge of T-ROC, Platform: apple_podcasts, Content: Brett is an entrepreneurial, results-driven executive with over 20 years of experience and success in the wireless and technology industries"
"Since building out her successful ads strategy, Kati has been able to drop so many other things off of her business list -- no Facebook lives, no constant posting on social media, no Facebook groups that need loads of interaction, no big affiliate promotions",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 226: How Continuing to Test and Tweak Ads Led to $15k Profit Months for Kati Kiefer of True Money Saver, Platform: apple_podcasts, Content: Since building out her successful ads strategy, Kati has been able to drop so many other things off of her business list -- no Facebook lives, no constant posting on social media, no Facebook groups that need loads of interaction, no big affiliate promotions"
")
  
 I'm so glad Kati didn't give up on ads, because they've given her a much simpler, more profitable business that fits around her beautiful life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 226: How Continuing to Test and Tweak Ads Led to $15k Profit Months for Kati Kiefer of True Money Saver, Platform: apple_podcasts, Content: )
  
 I'm so glad Kati didn't give up on ads, because they've given her a much simpler, more profitable business that fits around her beautiful life"
Kelsey Sorenson of Wife Teacher Mommy has been a student of mine since 2016 when she bought my very first course on promoted pins,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 224: Building an Amazing Membership Experience with Kelsey Sorenson, Platform: apple_podcasts, Content: Kelsey Sorenson of Wife Teacher Mommy has been a student of mine since 2016 when she bought my very first course on promoted pins"
"(I'm so honored to have been the first teacher she learned from online, and the growth Kelsey has experienced in her business since then has been incredible",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 224: Building an Amazing Membership Experience with Kelsey Sorenson, Platform: apple_podcasts, Content: (I'm so honored to have been the first teacher she learned from online, and the growth Kelsey has experienced in her business since then has been incredible"
"Kelsey is always growing and expanding her business -- whether with Facebook ads, new products, new full-time team members, or her new membership which is rapidly growing",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 224: Building an Amazing Membership Experience with Kelsey Sorenson, Platform: apple_podcasts, Content: Kelsey is always growing and expanding her business -- whether with Facebook ads, new products, new full-time team members, or her new membership which is rapidly growing"
"Kelsey has done so much to make sure her membership is fun, positive, and feels like a party, but also provides the practical tools + life coaching support her club members need to succeed",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 224: Building an Amazing Membership Experience with Kelsey Sorenson, Platform: apple_podcasts, Content: Kelsey has done so much to make sure her membership is fun, positive, and feels like a party, but also provides the practical tools + life coaching support her club members need to succeed"
"Cori and Angie spill the beans on what they did, how they coordinated it, hosting, marketing, what their tech stack was, and other tip and tricks of things they might do differently next time they host a large online event",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Brilliant Business Moms with Beth Anne Schwamberger,,"Episode: 223: How to Host a Wildly Successful (+ Profitable!) Online Event with Cori George and Angie Holden, Platform: apple_podcasts, Content: Cori and Angie spill the beans on what they did, how they coordinated it, hosting, marketing, what their tech stack was, and other tip and tricks of things they might do differently next time they host a large online event"
Matt Mullengweg was a high school student looking for a better way to customize his blog when he discovered the open source software community and created the WordPress platform,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Venture Voice – interviews with entrepreneurs,,"Episode: Matt Mullenweg built Automattic into a $7.5B company, Platform: apple_podcasts, Content: Matt Mullengweg was a high school student looking for a better way to customize his blog when he discovered the open source software community and created the WordPress platform"
"A distributed company since day one, Automattic now employs 2000 people across 90 countries",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Venture Voice – interviews with entrepreneurs,,"Episode: Matt Mullenweg built Automattic into a $7.5B company, Platform: apple_podcasts, Content: A distributed company since day one, Automattic now employs 2000 people across 90 countries"
"He shares more in this episode about what they’ve learned about remote work, and what they’re still figuring out",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Venture Voice – interviews with entrepreneurs,,"Episode: Matt Mullenweg built Automattic into a $7.5B company, Platform: apple_podcasts, Content: He shares more in this episode about what they’ve learned about remote work, and what they’re still figuring out"
"In this episode, David shares his own stories of success and failure as an entrepreneur, how he decided to start Techstars and his advice for anyone thinking about starting up — or investing in — a new venture",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Venture Voice – interviews with entrepreneurs,,"Episode: David Cohen’s Techstars, Platform: apple_podcasts, Content: In this episode, David shares his own stories of success and failure as an entrepreneur, how he decided to start Techstars and his advice for anyone thinking about starting up — or investing in — a new venture"
"When I first interviewed him for this podcast, way back in 2005, the then-31-year-old French native was in the process of packing up his office at Zingy, the mobile media start-up he’d founded in 2000",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Venture Voice – interviews with entrepreneurs,,"Episode: Fabrice Grinda on growing Zingy into a $200 million business, Platform: apple_podcasts, Content: When I first interviewed him for this podcast, way back in 2005, the then-31-year-old French native was in the process of packing up his office at Zingy, the mobile media start-up he’d founded in 2000"
Matt McManus and his brother James found a manufacturer in China and launched Bokos in 2013,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/Think Entrepreneurship | Interviews with Entrepreneurs | Entrepreneur Tips, Advice, and Inspiration",,"Episode: 30: Finding Manufacturers Overseas and Building Bokos Sandal Company from Scratch, Platform: apple_podcasts, Content: Matt McManus and his brother James found a manufacturer in China and launched Bokos in 2013"
In episode 29 Jaime Tardy of the Eventual Millionaire shares the key points she has learned from interviewing over 130 millionaires,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,"podcast/apple_podcasts/Think Entrepreneurship | Interviews with Entrepreneurs | Entrepreneur Tips, Advice, and Inspiration",,"Episode: 29: How to Eventually Become a Millionaire and How to Take Action with Jaime Tardy of EventualMillionaire.com, Platform: apple_podcasts, Content: In episode 29 Jaime Tardy of the Eventual Millionaire shares the key points she has learned from interviewing over 130 millionaires"
"Drawing from his experience at Shazam, Dhiraj learned firsthand that the best way to predict the future is to create it",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Dhiraj Mukherjee: Optimism Defines the Future, Platform: apple_podcasts, Content: Drawing from his experience at Shazam, Dhiraj learned firsthand that the best way to predict the future is to create it"
"UN 17 Sustainable Development Goals (SDGs)

Recommended by Dhiraj: 

How to Avoid a Climate Disaster by Bill Gates

Recommended by Caitlin and Ben: 

The Social Animal by David Brooks

The Business of Good by Jason Haber

Try Blinkist for free for 14 days by going to [https://www",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Dhiraj Mukherjee: Optimism Defines the Future, Platform: apple_podcasts, Content: UN 17 Sustainable Development Goals (SDGs)

Recommended by Dhiraj: 

How to Avoid a Climate Disaster by Bill Gates

Recommended by Caitlin and Ben: 

The Social Animal by David Brooks

The Business of Good by Jason Haber

Try Blinkist for free for 14 days by going to [https://www"
"In this week’s episode of Simplify, Cole generously shares with us her hard-won wisdom for navigating true health while still living in a dysfunctional world",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Cole Kazdin: Health is Not a Size, Platform: apple_podcasts, Content: In this week’s episode of Simplify, Cole generously shares with us her hard-won wisdom for navigating true health while still living in a dysfunctional world"
"In this episode of Simplify, we had the unique chance to tap into David's unique wisdom and expertise and ask: what are the patterns you've seen across these success stories",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Acquired's David Rosenthal: 3 Secrets of the World's Most Successful Businesses, Platform: apple_podcasts, Content: In this episode of Simplify, we had the unique chance to tap into David's unique wisdom and expertise and ask: what are the patterns you've seen across these success stories"
"What’s more, with an experience of two hosts and expert interviewers, they reach some everlasting wisdom on quality, connection, and authenticity— applicable both in business and life",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Acquired's David Rosenthal: 3 Secrets of the World's Most Successful Businesses, Platform: apple_podcasts, Content: What’s more, with an experience of two hosts and expert interviewers, they reach some everlasting wisdom on quality, connection, and authenticity— applicable both in business and life"
"Amy’s wisdom and tenderness guide us from an important shift in ideas about intimacy and solitude to the painful feelings we are often too ashamed to discuss: loneliness, envy, grief, and the sensation of wanting",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Blinkist Podcast - Interviews | Personal Development | Productivity | Business | Psychology,,"Episode: Amy Key: Romance Isn't Everything, Platform: apple_podcasts, Content: Amy’s wisdom and tenderness guide us from an important shift in ideas about intimacy and solitude to the painful feelings we are often too ashamed to discuss: loneliness, envy, grief, and the sensation of wanting"
"(00:28:56) - Actionable Advice on Creating Content
  (00:44:53) - Sponsor: LinkedIn Jobs
 
 (00:46:04) - Comedy & Storytelling  (00:52:41) - Why Writing is the Most Important Skill
   (01:03:33) - Inside Look at Kallaway’s Script Layout
   (01:05:59) - Kallaway’s Equipment
   (01:10:24) - Kallaway’s Editing Process
   (01:32:35) - Psychology of Creating Content
   (01:44:57) - How to go viral
   (01:49:37) - Newsletter Insights
   (01:55:26) - Thoughts on Monetization
   (01:59:52) - Becoming a Full-Time Creator 
   Links Mentioned
   Kallaway’s Personal Website
   Kallaway’s Twitter
   Espresso Letter
   TikTok Example 1
   TikTok Example 2
   TikTok Example 3
   Camera
   Lens
   Capture Card
   Microphone
   Recording Software
   Youtube Downloader (Downie)
   Premiere Keyboard Shortcuts 
   Thank you to our sponsors:
 Linkedin Jobs - helps you find the candidates you want to talk to, faster",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Creator Lab - interviews with entrepreneurs and startup founders,,"Episode: Kallaway // 100mil+ Views, Growing on TikTok & Vertical Video Deep Dive, Platform: apple_podcasts, Content: (00:28:56) - Actionable Advice on Creating Content
  (00:44:53) - Sponsor: LinkedIn Jobs
 
 (00:46:04) - Comedy & Storytelling  (00:52:41) - Why Writing is the Most Important Skill
   (01:03:33) - Inside Look at Kallaway’s Script Layout
   (01:05:59) - Kallaway’s Equipment
   (01:10:24) - Kallaway’s Editing Process
   (01:32:35) - Psychology of Creating Content
   (01:44:57) - How to go viral
   (01:49:37) - Newsletter Insights
   (01:55:26) - Thoughts on Monetization
   (01:59:52) - Becoming a Full-Time Creator 
   Links Mentioned
   Kallaway’s Personal Website
   Kallaway’s Twitter
   Espresso Letter
   TikTok Example 1
   TikTok Example 2
   TikTok Example 3
   Camera
   Lens
   Capture Card
   Microphone
   Recording Software
   Youtube Downloader (Downie)
   Premiere Keyboard Shortcuts 
   Thank you to our sponsors:
 Linkedin Jobs - helps you find the candidates you want to talk to, faster"
"be/zJBc0-rsnVo
 Timestamps:
  00:00:00 - Start 00:04:26 - What VCs do & how it overlaps with Mario’s experience 00:08:00 - Why Be A Generalist vs",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Creator Lab - interviews with entrepreneurs and startup founders,,"Episode: Mario Gabriele, The Generalist // Emerging Tech, ChatGPT vs. Google, Contrarian Views & Raising A $15mil Fund, Platform: apple_podcasts, Content: be/zJBc0-rsnVo
 Timestamps:
  00:00:00 - Start 00:04:26 - What VCs do & how it overlaps with Mario’s experience 00:08:00 - Why Be A Generalist vs"
"His latest book, YOU NEED MORE MONEY, launched in 2018 and was published by Penguin/Random House
                             Success Hack:
  - Go be the rich Uncle Bob",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Success Hackers |  Empowering Entrepreneurs to Play Bigger in Business and Life,,"Episode: 143. You Need More Money by Matt Manero, Platform: apple_podcasts, Content: His latest book, YOU NEED MORE MONEY, launched in 2018 and was published by Penguin/Random House
                             Success Hack:
  - Go be the rich Uncle Bob"
"Throughout his professional experience, Foss has negotiated complex, multi-million-dollar contracts, worked in
  device sales management, created business strategies, and optimized P&L",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Success Hackers |  Empowering Entrepreneurs to Play Bigger in Business and Life,,"Episode: 142. Shane Foss talks about cheaper health care., Platform: apple_podcasts, Content: Throughout his professional experience, Foss has negotiated complex, multi-million-dollar contracts, worked in
  device sales management, created business strategies, and optimized P&L"
"Align works alongside financial advisors, institutions, foundations and directly advises individual clients and their family offices, all in the service of integrating impact investments into the broader wealth management strategy",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Success Hackers |  Empowering Entrepreneurs to Play Bigger in Business and Life,,"Episode: 139. Jenn Kenning shares the importance of impact investing, Platform: apple_podcasts, Content: Align works alongside financial advisors, institutions, foundations and directly advises individual clients and their family offices, all in the service of integrating impact investments into the broader wealth management strategy"
I felt like I was out of integrity with Life on Fire and our mission because every other area of life has been on fire for me and my wife,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Life on Fire TV (Audio) – Online Business Coaching With Nick Unsworth,,"Episode: 227: Why I Am Competing in a Fitness Competition: 5 Steps to Achieving Any Vision, Platform: apple_podcasts, Content: I felt like I was out of integrity with Life on Fire and our mission because every other area of life has been on fire for me and my wife"
"Our marriage, our business, our finances, our friendships and our faith have all been amazing - but my health and my weight have always been a battle for me",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/apple_podcasts/Life on Fire TV (Audio) – Online Business Coaching With Nick Unsworth,,"Episode: 227: Why I Am Competing in a Fitness Competition: 5 Steps to Achieving Any Vision, Platform: apple_podcasts, Content: Our marriage, our business, our finances, our friendships and our faith have all been amazing - but my health and my weight have always been a battle for me"
